43226,-0.003,-0.132,1.013,-2.012,1.768,-0.152,28.218
43231,-0.010,-0.143,1.015,-1.311,2.652,0.000,28.206
43237,-0.018,-0.151,1.038,-0.183,2.866,-0.183,28.209
43243,-0.020,-0.153,1.040,1.098,2.683,-0.518,28.221
43249,-0.017,-0.148,1.053,2.622,1.982,-0.823,28.236
43255,-0.013,-0.136,1.050,3.841,1.372,-0.823,28.227
43261,-0.013,-0.133,1.057,4.512,0.854,-0.701,28.221
43267,-0.014,-0.118,1.067,4.695,0.213,-0.427,28.236
43273,-0.015,-0.110,1.061,4.268,-0.915,-0.488,28.224
43279,-0.012,-0.099,1.047,3.780,-2.195,-0.610,28.215
43285,-0.004,-0.090,1.035,3.384,-2.927,-0.183,28.259
43291,0.009,-0.089,1.039,3.354,-2.988,0.732,28.248
43297,0.017,-0.094,1.043,3.323,-3.110,1.646,28.239
43303,0.014,-0.105,1.048,3.537,-4.238,2.439,28.233
43309,0.009,-0.105,1.052,3.994,-5.152,3.079,28.233
43315,0.015,-0.111,1.064,3.933,-5.915,3.476,28.236
43321,0.012,-0.120,1.065,3.780,-7.073,3.384,28.227
43327,0.015,-0.127,1.067,4.085,-8.384,3.262,28.198
43333,0.016,-0.137,1.061,4.421,-8.872,2.988,28.230
43339,0.013,-0.141,1.057,5.274,-9.512,2.988,28.248
43345,0.004,-0.139,1.045,6.494,-9.909,2.652,28.233
43351,0.010,-0.137,1.032,7.195,-9.970,2.409,28.215
43357,0.018,-0.121,1.015,7.348,-10.091,1.616,28.212
43363,0.022,-0.110,1.004,7.256,-9.787,1.341,28.236
43369,0.030,-0.103,0.993,6.159,-8.780,0.793,28.236
43375,0.029,-0.098,0.993,4.482,-7.073,0.305,28.209
43381,0.033,-0.100,0.989,3.171,-4.665,0.061,28.218
43387,0.031,-0.102,0.998,2.409,-2.043,0.213,28.230
43393,0.034,-0.100,1.006,2.134,0.122,0.732,28.236
43399,0.026,-0.090,1.021,2.530,1.524,1.951,28.192
43405,0.013,-0.079,1.046,3.537,2.530,4.177,28.215
43411,0.005,-0.073,1.072,4.848,3.018,7.043,28.233
43417,-0.002,-0.070,1.100,5.579,2.805,9.756,28.239
43423,-0.030,-0.075,1.132,4.817,0.518,11.463,28.224
43429,-0.037,-0.089,1.143,2.896,-3.079,11.890,28.209
43435,-0.030,-0.100,1.141,0.762,-6.433,11.463,28.221
43441,-0.020,-0.127,1.128,-0.823,-9.085,10.549,28.230
43447,-0.012,-0.159,1.113,-1.585,-10.732,8.994,28.221
43453,-0.006,-0.187,1.106,-1.921,-11.951,6.829,28.248
43459,0.006,-0.196,1.091,-1.677,-13.415,4.238,28.198
43465,0.015,-0.189,1.068,-1.067,-14.482,1.921,28.227
43471,0.030,-0.173,1.042,0.518,-14.695,0.854,28.201
43477,0.033,-0.154,1.039,3.110,-13.963,0.976,28.224
43483,0.034,-0.144,1.029,5.244,-12.744,1.189,28.215
43489,0.029,-0.134,1.029,6.585,-11.829,1.067,28.245
43495,0.031,-0.111,1.012,7.195,-11.250,0.823,28.221
43501,0.039,-0.100,0.995,7.348,-10.335,1.006,28.242
43507,0.044,-0.090,0.988,7.530,-7.835,1.463,28.239
43513,0.047,-0.084,0.996,6.921,-5.274,2.165,28.198
43519,0.032,-0.091,1.003,6.006,-3.872,2.561,28.218
43525,0.029,-0.095,0.997,5.030,-3.384,2.317,28.204
43530,0.037,-0.104,1.000,4.360,-2.866,1.951,28.221
43536,0.049,-0.109,0.993,3.841,-2.195,1.829,28.201
43542,0.047,-0.122,0.996,3.476,-1.098,1.829,28.245
43548,0.044,-0.126,1.016,3.872,0.213,1.982,28.239
43554,0.036,-0.130,1.033,5.122,1.524,2.652,28.233
43560,0.023,-0.143,1.055,6.463,2.104,2.927,28.242
43566,0.011,-0.160,1.072,6.951,1.250,2.317,28.218
43572,0.003,-0.165,1.077,6.433,-1.006,0.762,28.218
43578,0.000,-0.169,1.062,5.366,-3.445,-1.524,28.224
43584,0.003,-0.161,1.048,3.720,-5.488,-4.543,28.218
43590,0.019,-0.158,1.031,1.860,-6.921,-7.530,28.254
43596,0.033,-0.139,1.002,0.335,-7.043,-10.030,28.215
43602,0.055,-0.119,0.989,-0.884,-6.585,-11.585,28.259
43608,0.071,-0.106,0.977,-1.616,-5.244,-12.165,28.209
43614,0.079,-0.091,0.964,-1.860,-3.110,-11.707,28.201
43620,0.091,-0.078,0.966,-1.220,0.579,-9.787,28.206
43626,0.091,-0.083,0.986,0.000,5.000,-7.043,28.239
43632,0.065,-0.098,0.993,1.799,8.323,-4.421,28.227
43638,0.045,-0.113,1.013,4.116,10.091,-2.774,28.209
43644,0.048,-0.119,1.027,6.616,10.915,-1.738,28.248
43650,0.042,-0.132,1.042,8.567,11.159,-1.220,28.236
43655,0.031,-0.157,1.069,9.329,11.189,-1.768,28.236
43661,0.009,-0.167,1.078,9.024,10.061,-3.811,28.242
43667,-0.003,-0.175,1.082,7.774,8.476,-6.982,28.215
43673,0.002,-0.176,1.077,5.762,6.982,-10.640,28.239
43679,0.010,-0.174,1.058,3.628,5.823,-13.902,28.218
43685,0.009,-0.150,1.049,2.348,4.512,-16.098,28.206
43691,0.008,-0.125,1.031,2.134,3.963,-17.561,28.230
43697,0.025,-0.100,1.022,1.768,3.201,-17.470,28.230
43703,0.034,-0.071,1.018,2.470,2.805,-15.183,28.218
43709,0.040,-0.044,1.026,4.634,3.354,-11.159,28.227
43715,0.030,-0.043,1.051,6.311,4.512,-6.707,28.180
43721,0.020,-0.053,1.052,6.311,4.238,-3.354,28.251
43727,0.005,-0.069,1.061,5.579,2.835,-1.616,28.242
43733,0.008,-0.089,1.061,4.421,1.280,-1.220,28.209
43739,0.012,-0.107,1.056,3.049,-0.030,-1.646,28.206
43745,0.010,-0.128,1.050,1.524,-1.494,-2.866,28.230
43751,0.022,-0.141,1.049,0.000,-2.713,-4.726,28.233
43757,0.030,-0.146,1.023,-1.372,-3.262,-6.799,28.230
43763,0.046,-0.141,1.006,-2.043,-2.957,-8.262,28.248
43769,0.055,-0.133,0.990,-1.402,-1.402,-8.750,28.221
43775,0.060,-0.118,0.985,-0.244,0.671,-8.476,28.204
43781,0.063,-0.106,0.977,1.159,2.439,-7.744,28.230
43787,0.061,-0.097,0.993,2.134,3.079,-6.768,28.236
43793,0.052,-0.090,0.997,2.866,3.720,-5.793,28.195
43799,0.043,-0.072,1.019,2.409,4.329,-5.061,28.230
43805,0.037,-0.066,1.039,1.189,4.878,-4.055,28.256
43811,0.015,-0.070,1.064,-0.488,4.329,-3.750,28.212
43817,0.015,-0.070,1.074,-2.317,2.927,-3.811,28.256
43823,0.019,-0.073,1.086,-4.024,1.585,-4.085,28.236
43829,0.031,-0.090,1.076,-5.427,0.854,-4.421,28.242
43835,0.037,-0.111,1.079,-6.433,0.488,-4.878,28.212
43841,0.037,-0.124,1.061,-6.494,-0.396,-5.640,28.251
